createdon,new_annualcostsavings,new_annualemissionspreventedmtco2e,new_annualenergysavingsmmbtu,new_buildingtypenew_display,new_certificationlevel1_display,new_certificationlevel2_display,new_certificationlevel3_display,new_certificationtype1_display,new_certificationtype2_display,new_certificationtype3_display,new_constructioncost,new_country,new_currentphase_display,new_dateoccupied,new_gallonswatersaved,new_nda,new_programconstructionbegin,new_programconstructioncomplete,new_programdesigncomplete,new_programenergysavings,new_programfloors,new_programsquarefootage,new_programunits,new_programwastediverted,new_programwatersavings,new_rdtaxcredit,new_renewableenergykwh,new_siteacreage,new_tonswastediverted,new_totalconstructionbudget,psa_number,psa_programid,rwi_msa,programinitiatedby_empID,region,programmanager_empID,CityID,StateID
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,658,7753286b-950c-ea11-a811-000d3a36880e,FALSE,,SF,58,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,0692-A-10730,c4ceba17-fa46-ea11-a812-000d3a36880e,FALSE,,SF,58,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,0710-A-10717,92a19ef2-8d5d-ea11-a811-000d3a36886f,FALSE,,SF,58,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,711,6529fdbc-9b5d-ea11-a811-000d3a36880e,FALSE,,SF,21,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,712,c815d75d-9d5d-ea11-a811-000d3a36880e,FALSE,,SF,54,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,707,046a12c0-9a59-ea11-a811-000d3a36886f,FALSE,,SF,54,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,0835-A-10490,7859676e-f18f-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,0836-A-10344,4131ec08-f28f-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,841,232d7663-d893-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,842,778bac79-db93-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,843,3fa57abe-eb93-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,844,88461965-ec93-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,845,afe2154e-ef93-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,846,3d63eaeb-ef93-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,847,2bf1313d-2e99-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,848,bdbe22ff-1b9a-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,849,edbef0b0-1c9a-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,850,42e9fa10-df9a-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,860,1df38a46-8c9b-ea11-a811-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,862,64c04c1a-749f-ea11-a812-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,866,e0fa0882-92a4-ea11-a812-000d3a36880e,FALSE,,SF,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,874,ef0d4d63-fbc2-ea11-a812-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,875,f2262430-05c3-ea11-a812-000d3a36880e,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,0724-A-10832,40980470-ca79-ea11-a811-000d3a36886f,FALSE,,SF,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,0837-A-0000,35306a3e-9890-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,838,552a3e0d-bf90-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,839,fefc5f27-cd90-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,852,34a97817-1a9b-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,853,8e144864-1b9b-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,854,46ed5d1f-1c9b-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,855,9de469cc-1c9b-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,856,4d5b2458-1d9b-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,857,403a24cb-1d9b-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,858,f2aee33d-1e9b-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,859,d8eecae0-1e9b-ea11-a811-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,826,7d83c52a-ca80-ea11-a812-000d3a36886f,FALSE,,SF,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,694,a8e4d152-7b47-ea11-a812-000d3a36886f,FALSE,,SF,55,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,675,86b5a50d-7920-ea11-a810-000d3a36880e,FALSE,84,SF,84,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,701,87b97039-2655-ea11-a812-000d3a36880e,FALSE,84,SF,84,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,718,de502921-546a-ea11-a811-000d3a36886f,FALSE,84,SF,84,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,0682-A-10400,aa44a26a-9c32-ea11-a810-000d3a36880e,FALSE,89,SF,89,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,656,d6339bb1-1501-ea11-a811-000d3a36880e,FALSE,89,SF,89,,
00:00.0,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,FALSE,,,,,666,8afbd441-fd1a-ea11-a811-000d3a36880e,FALSE,89,SF,89,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,863,bfdb8fa1-78a0-ea11-a812-000d3a36886f,FALSE,,SF,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,867,00076f2a-94a6-ea11-a812-000d3a36886f,FALSE,,SF,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,872,0497f903-0dbb-ea11-a812-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,876,a2c26880-68c6-ea11-a812-000d3a36886f,FALSE,,SD,,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,687,1ad8cc09-8236-ea11-a813-000d3a368be7,FALSE,89,SF,89,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,0685-A-9917,8e429d50-e633-ea11-a813-000d3a368e62,FALSE,,SF,73,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,542,e667efd7-037c-e811-a958-000d3a3780dd,FALSE,,SF,44,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,0543-A-4318,f5907a3e-047c-e811-a958-000d3a3780dd,FALSE,,SF,44,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,592,983249ca-5217-e911-a966-000d3a3780dd,FALSE,54,SF,54,,
00:00.0,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,FALSE,,,,,595,154b0051-4c1f-e911-a96b-000d3a3780dd,FALSE,58,SF,58,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,650,815cd022-f8e9-e911-a97d-000d3a3780dd,FALSE,,SF,73,,
00:00.0,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,2,e18031f8-00b2-e811-a95c-000d3a37839b,FALSE,,SF,58,,
