createdon,new_billingday,new_certificationfeeinvoiced,new_certificationfeereceived,new_howmuchcertification,new_howmuchregistration,new_lossleader,new_verbalagreement,psa_enddate,psa_program,psa_projectid,psa_signed,psa_startdate,statuscode_display,serviceline,Team,projectmanager_empID,Overbudget_yes,Budget,projectstatus
2018-12-06 00:00:00.000,,"",False,,,,True,2019-04-15 00:00:00.000,"03ffee06-89f9-e811-a966-000d3a37839b","c0a1725b-89f9-e811-a966-000d3a37839b",False,2018-12-05 00:00:00.000,"Inactive","Commissioning","SB",51,"0",21400,"4.Complete"
2018-05-17 00:00:00.000,,"",False,,,,True,2020-10-01 00:00:00.000,"81cbef69-f659-e811-a94e-000d3a37870e","6f21bbc3-f959-e811-a94e-000d3a37870e",False,2018-05-17 00:00:00.000,"Inactive","Commissioning","SB",51,"No conclusion",,"Dead"
2018-08-02 00:00:00.000,,"",False,,,,True,2019-04-01 00:00:00.000,"a2d4777e-a896-e811-a957-000d3a378ca2","cffdaaf0-a896-e811-a957-000d3a378ca2",False,2018-08-02 00:00:00.000,"Inactive","Commissioning","SB",51,"0",31865,"4.Complete"
2016-11-22 00:00:00.000,,"",False,,,,True,2016-11-22 00:00:00.000,"9f9d3205-8eab-e611-80f0-5065f38be0e1","eb43850d-20b1-e611-80f6-5065f38afa01",False,2016-11-22 00:00:00.000,"Inactive","Commissioning","SB",51,"No conclusion",,"Dead"
2016-09-07 00:00:00.000,,"",False,,,,False,2017-07-31 00:00:00.000,"487792ea-e93e-e611-8117-c4346bac0260","b3ed8234-2775-e611-80ea-5065f38b4491",False,2016-09-07 00:00:00.000,"Inactive","Commissioning","SB",51,"0",36610,"4.Complete"
2017-01-13 00:00:00.000,,"",False,,,,False,2018-02-28 00:00:00.000,"bc564b6c-3d9c-e411-98dc-6c3be5a8b8b0","30072e3d-ead9-e611-80f7-5065f38b4491",False,2017-01-16 00:00:00.000,"Inactive","Commissioning","SB",51,"No conclusion",,"Dead"
2017-02-01 00:00:00.000,,"",False,,,,False,2017-08-31 00:00:00.000,"d57e943a-545c-e211-8a15-78e3b51146cf","e4344949-aee8-e611-80f9-5065f38b4491",True,2017-02-02 00:00:00.000,"Inactive","Commissioning","SB",51,"1",8170,"4.Complete"
2016-07-27 00:00:00.000,,"",False,,,,True,2016-10-31 00:00:00.000,"fff343f1-1854-e611-80e5-5065f38b5171","4219ee2c-1a54-e611-80e5-5065f38b5171",True,2016-07-26 00:00:00.000,"Inactive","Commissioning","SB",51,"No conclusion",1860,"Dead"
2014-11-17 00:00:00.000,,"",False,,,,True,2017-02-28 00:00:00.000,"84f8c51a-7d6e-e411-8b85-6c3be5a6aa7c","dda37c80-7e6e-e411-8b85-6c3be5a6aa7c",True,2014-11-17 00:00:00.000,"Inactive","Commissioning","SB",51,"0",20185,"4.Complete"
2014-09-16 00:00:00.000,,"",False,,,,False,2014-09-30 00:00:00.000,"c6ffaedf-c07b-e211-8c15-78e3b511b601","4b21e1ad-003e-e411-953d-6c3be5a6aa7c",False,2014-08-01 00:00:00.000,"Inactive","Commissioning","SB",51,"1",7150,"1. Current"
2014-12-03 00:00:00.000,,"",False,,,,True,2015-12-03 00:00:00.000,"ffa173a2-147b-e411-957d-6c3be5a6aa7c","07bdd0f4-167b-e411-957d-6c3be5a6aa7c",False,2014-12-03 00:00:00.000,"Inactive","Commissioning","SB",51,"1",,"1. Current"
2014-04-24 00:00:00.000,,"",False,,,,False,2014-04-25 00:00:00.000,"cc7f202b-d4cb-e311-a804-6c3be5a6aa7c","370d6ce1-d5cb-e311-a804-6c3be5a6aa7c",False,2014-04-24 00:00:00.000,"Inactive","Commissioning","SB",51,"No conclusion",19110,"Dead"
2014-06-06 00:00:00.000,,"",False,,,,False,2015-11-30 00:00:00.000,"49dc867f-c1ed-e311-aa44-6c3be5a6aa7c","26bb8822-c3ed-e311-aa44-6c3be5a6aa7c",True,2014-06-06 00:00:00.000,"Inactive","Commissioning","SB",51,"1",24080,"4.Complete"
