end_date,project_id,service_line,team,project_manager,overbudget_yes,budget,building_region,nda
2019-04-15 00:00:00,c0a1725b-89f9-e811-a966-000d3a37839b,Commissioning,SB,51,0,21400,SF,false
2019-04-01 00:00:00,cffdaaf0-a896-e811-a957-000d3a378ca2,Commissioning,SB,51,0,31865,SF,false
2017-07-31 00:00:00,b3ed8234-2775-e611-80ea-5065f38b4491,Commissioning,SB,51,0,36610,SF,false
2017-08-31 00:00:00,e4344949-aee8-e611-80f9-5065f38b4491,Commissioning,SB,51,1,8170,SF,false
2017-02-28 00:00:00,dda37c80-7e6e-e411-8b85-6c3be5a6aa7c,Commissioning,SB,51,0,20185,SF,false
2014-09-30 00:00:00,4b21e1ad-003e-e411-953d-6c3be5a6aa7c,Commissioning,SB,51,1,7150,SF,true
2015-11-30 00:00:00,26bb8822-c3ed-e311-aa44-6c3be5a6aa7c,Commissioning,SB,51,1,24080,SF,true
2016-08-18 00:00:00,a1c11294-93b7-e411-ab49-6c3be5a6aa7c,Commissioning,SB,51,0,29131,SF,false
2015-01-08 00:00:00,453996ed-3a9f-e311-aca1-6c3be5a6aa7c,Commissioning,SB,51,0,18491,SF,false
2015-02-26 00:00:00,3376f7a9-ce9f-e311-aca1-6c3be5a6aa7c,Commissioning,SB,51,0,12750,SF,false
2015-10-08 00:00:00,5b170ba0-16de-e411-89ab-6c3be5a841e0,Commissioning,SB,51,0,7247.5,SF,false
2014-08-10 00:00:00,0df05473-5cc0-e311-aa0f-6c3be5a841e0,Commissioning,SB,51,0,27965,SF,false
2016-02-27 00:00:00,de283972-1a2e-e411-bfa0-6c3be5a841e0,Commissioning,SB,51,0,17137,SF,false
2015-06-26 00:00:00,bca39ceb-5806-e511-8c93-6c3be5a8b8b0,Commissioning,SB,51,0,7815,SF,false
2015-05-20 00:00:00,0a2b65db-5de0-e311-9408-6c3be5a8b8b0,Commissioning,SB,51,0,31691,SF,false
2015-09-30 00:00:00,3cebf519-f2b2-e411-9578-6c3be5a8b8b0,Commissioning,SB,51,0,15270,SF,false
2019-11-30 00:00:00,5797fd5a-429c-e411-98dc-6c3be5a8b8b0,Commissioning,SB,51,1,110700,SF,false
2016-10-24 00:00:00,a8567a1d-adea-e411-a607-6c3be5a8b8b0,Commissioning,SB,51,0,30980,SF,false
2016-05-24 00:00:00,146bb111-71a9-e311-a9f0-6c3be5a8b8b0,Commissioning,SB,51,0,21231,SF,false
2016-01-20 00:00:00,407f2b96-98a0-e311-8be5-6c3be5a8ca30,Commissioning,SB,51,1,4793,SF,false
2014-10-31 00:00:00,be02d34c-02c5-e311-bcb3-6c3be5a8ca30,Commissioning,SB,51,0,13161,SF,false
2015-01-21 00:00:00,96616d4a-cf82-e311-8b1b-78e3b51146cf,Commissioning,SB,51,0,19381.01,SF,true
2013-12-16 00:00:00,268614b9-a533-e311-8b1c-78e3b51146cf,Commissioning,SB,51,0,15115.53,SF,false
2014-10-21 00:00:00,575fb7cf-2538-e311-8b1c-78e3b51146cf,Commissioning,SB,51,1,1515,SF,false
2014-10-31 00:00:00,14b27501-2e38-e311-8b1c-78e3b51146cf,Commissioning,SB,51,0,10231,SF,false
2014-07-21 00:00:00,0fd7f119-8e45-e311-8b1c-78e3b51146cf,Commissioning,SB,51,0,10464,SF,false
2016-08-31 00:00:00,74981ab7-4dc9-e211-8b9c-78e3b51146cf,Commissioning,SB,51,0,57120,SF,false
2014-04-01 00:00:00,f480addd-cdd2-e211-8b9c-78e3b51146cf,Commissioning,SB,51,1,17231,SF,false
2016-01-01 00:00:00,231663f6-6e95-e211-8bd7-78e3b51146cf,Commissioning,SB,51,0,69231,SF,false
2015-01-09 00:00:00,705de36b-df09-e311-8c30-78e3b51146cf,Commissioning,SB,51,0,14783,SF,false
2013-10-01 00:00:00,348fedfd-4fd5-e211-97d3-78e3b51146cf,Commissioning,SB,51,0,12046,SF,false
2014-08-28 00:00:00,d7134dd6-8e63-e311-8a37-78e3b511b601,Commissioning,SB,51,1,4875,SF,false
2013-06-30 00:00:00,79118bdd-adc4-e211-8c54-78e3b511b601,Commissioning,SB,51,1,5678,SF,false
2013-06-05 00:00:00,2376dedb-08d7-e211-8cf1-78e3b511b601,Commissioning,SB,51,0,5583,SF,false
